time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1667900291.562,SCAI-SENSEI,sensei-103,0.799,-0.412,0.168,1.379,2022-11-08 09:38:11.562000036
1667900291.572,SCAI-SENSEI,sensei-103,0.824,-0.426,0.211,1.461,2022-11-08 09:38:11.572000027
1667900291.582,SCAI-SENSEI,sensei-103,0.867,-0.422,0.266,1.555,2022-11-08 09:38:11.582000017
1667900291.592,SCAI-SENSEI,sensei-103,0.859,-0.42,0.322,1.601,2022-11-08 09:38:11.592000008
1667900291.602,SCAI-SENSEI,sensei-103,0.854,-0.381,0.35,1.585,2022-11-08 09:38:11.601999998
1667900291.612,SCAI-SENSEI,sensei-103,0.881,-0.406,0.369,1.656,2022-11-08 09:38:11.611999989
1667900291.622,SCAI-SENSEI,sensei-103,0.838,-0.578,0.125,1.541,2022-11-08 09:38:11.621999979
1667900291.632,SCAI-SENSEI,sensei-103,0.812,-0.549,0.254,1.6150000000000002,2022-11-08 09:38:11.631999969
1667900291.642,SCAI-SENSEI,sensei-103,0.816,-0.561,0.232,1.609,2022-11-08 09:38:11.641999960
1667900291.652,SCAI-SENSEI,sensei-103,0.795,-0.561,0.277,1.633,2022-11-08 09:38:11.651999950
1667900291.662,SCAI-SENSEI,sensei-103,0.871,-0.506,0.334,1.711,2022-11-08 09:38:11.661999941
1667900291.672,SCAI-SENSEI,sensei-103,0.896,-0.518,0.176,1.59,2022-11-08 09:38:11.671999931
1667900291.682,SCAI-SENSEI,sensei-103,0.832,-0.605,0.264,1.7009999999999998,2022-11-08 09:38:11.681999922
1667900291.692,SCAI-SENSEI,sensei-103,2.17,-0.719,1.215,4.104,2022-11-08 09:38:11.691999912
1667900291.702,SCAI-SENSEI,sensei-103,0.027,-0.617,-0.113,0.757,2022-11-08 09:38:11.701999903
1667900291.712,SCAI-SENSEI,sensei-103,1.574,0.023,0.051,1.648,2022-11-08 09:38:11.711999893
1667900291.722,SCAI-SENSEI,sensei-103,0.695,-0.957,0.342,1.994,2022-11-08 09:38:11.721999884
1667900291.732,SCAI-SENSEI,sensei-103,0.779,-0.523,0.432,1.734,2022-11-08 09:38:11.732000113
